"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Barcode","Variant Price","Variant Grams","Variant Inventory Qty","Status"
"vinyplus-rondkantpaneel-150","Vinyplus Rondkantpaneel 150 mm","Rondkantpaneel voor gevels met een zachte afronding. Werkende breedte 150 mm, standaard lengte 6 m. Past bij VinyPlus hulpstukken en dakranden.","VinyPlus","gevelbekleding","vinyplus","TRUE","Kleur","Antraciet","Lengte","6 m","VP-RK150-ANTR","","83.74","","10","active"
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Wit","Lengte","6 m","VP-RK150-WIT","","83.74","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Crème","Lengte","6 m","VP-RK150-CREM","","83.74","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","VP-RK150-VEIK","","83.74","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Meranti","Lengte","6 m","VP-RK150-MERA","","83.74","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Antraciet","Lengte","3 m","VP-RK150-ANTR-3M","","44.99","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Wit","Lengte","3 m","VP-RK150-WIT-3M","","44.99","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Crème","Lengte","3 m","VP-RK150-CREM-3M","","44.99","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","VP-RK150-VEIK-3M","","44.99","","10",""
"vinyplus-rondkantpaneel-150","","","","","","","Kleur","Meranti","Lengte","3 m","VP-RK150-MERA-3M","","44.99","","10",""
"vinyplus-quattro-299","Vinyplus Quattro 299 mm werkend","Breed Quattro-paneel, 299 mm werkend. Minder naden, rustige gevel. Zelfde folie als het rondkantpaneel.","VinyPlus","gevelbekleding","vinyplus","TRUE","Kleur","Antraciet","Lengte","6 m","VP-Q299-ANTR","","166.86","","10","active"
"vinyplus-quattro-299","","","","","","","Kleur","Wit","Lengte","6 m","VP-Q299-WIT","","166.86","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Crème","Lengte","6 m","VP-Q299-CREM","","166.86","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","VP-Q299-VEIK","","166.86","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Meranti","Lengte","6 m","VP-Q299-MERA","","166.86","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Antraciet","Lengte","3 m","VP-Q299-ANTR-3M","","89.64","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Wit","Lengte","3 m","VP-Q299-WIT-3M","","89.64","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Crème","Lengte","3 m","VP-Q299-CREM-3M","","89.64","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","VP-Q299-VEIK-3M","","89.64","","10",""
"vinyplus-quattro-299","","","","","","","Kleur","Meranti","Lengte","3 m","VP-Q299-MERA-3M","","89.64","","10",""
"keralit-sponning-143","Keralit sponning 143 mm","Strak sponningdeel 143 mm. Rustige gevel zonder grove overlapping. Compleet met startprofiel, verbindstuk en schroeven.","Keralit","gevelbekleding","keralit","TRUE","Kleur","Antraciet","Lengte","6 m","KER-SP143-ANTR","","87.30","","10","active"
"keralit-sponning-143","","","","","","","Kleur","Vergrijsd eiken","Lengte","6 m","KER-SP143-VEIK","","87.30","","10",""
"keralit-sponning-143","","","","","","","Kleur","Golden oak","Lengte","6 m","KER-SP143-GOLD","","87.30","","10",""
"keralit-sponning-143","","","","","","","Kleur","Crème","Lengte","6 m","KER-SP143-CREM","","87.30","","10",""
"keralit-sponning-143","","","","","","","Kleur","Diepzwart","Lengte","6 m","KER-SP143-ZWPT","","87.30","","10",""
"keralit-sponning-143","","","","","","","Kleur","Antraciet","Lengte","3 m","KER-SP143-ANTR-3M","","46.90","","10",""
"keralit-sponning-143","","","","","","","Kleur","Vergrijsd eiken","Lengte","3 m","KER-SP143-VEIK-3M","","46.90","","10",""
"keralit-sponning-143","","","","","","","Kleur","Golden oak","Lengte","3 m","KER-SP143-GOLD-3M","","46.90","","10",""
